index,PRICE
2023-09-19,26249.0
2023-09-20,26449.0
2023-09-21,25940.0
2023-09-22,26230.0
2023-09-25,26237.0
2023-09-26,26611.0
2023-09-27,26475.0
2023-09-28,26673.0
2023-09-29,27122.0
2023-10-02,26671.0
2023-10-03,26948.0
2023-10-04,26859.0
2023-10-05,26829.0
2023-10-06,26965.0
2023-10-09,27359.0
2023-10-10,27381.0
2023-10-11,27204.0
2023-10-12,27259.0
2023-10-13,27129.0
2023-10-16,27701.0
2023-10-17,27866.0
2023-10-18,27591.0
2023-10-19,27653.0
2023-10-20,27763.0
2023-10-23,27813.0
2023-10-24,27820.0
2023-10-25,28116.0
2023-10-26,27693.0
2023-10-27,27746.0
2023-10-30,27655.0
2023-10-31,27545.0
2023-11-01,27569.0
2023-11-02,27450.0
2023-11-03,27571.0
2023-11-06,27917.0
2023-11-07,28004.0
2023-11-08,28340.0
2023-11-09,28308.0
2023-11-10,28558.0
2023-11-13,28929.0
2023-11-14,28671.0
2023-11-15,28794.0
2023-11-16,28578.0
2023-11-17,28670.0
2023-11-20,28783.0
2023-11-21,28740.0
2023-11-22,28986.0
2023-11-23,29009.0
2023-11-24,29008.0
2023-11-27,28371.0
2023-11-28,28345.0
2023-11-29,28024.0
2023-11-30,27892.0
2023-12-01,27751.0
2023-12-04,27460.0
2023-12-05,27941.0
2023-12-06,27066.0
2023-12-07,26739.0
2023-12-08,26663.0
2023-12-11,25777.0
2023-12-12,26020.0
2023-12-13,25990.0
2023-12-14,25890.0
2023-12-15,26822.0
2023-12-18,28110.0
2023-12-19,27879.0
2023-12-20,27958.0
2023-12-21,27673.0
2023-12-22,28303.0
2023-12-25,28280.0
2023-12-26,28380.0
2023-12-27,28236.0
2023-12-28,28383.0
2023-12-29,28235.0
2024-01-01,
2024-01-02,
2024-01-03,28468.0
2024-01-04,28431.0
2024-01-05,28295.0
2024-01-08,28630.0
2024-01-09,28584.0
2024-01-10,28496.0
2024-01-11,28558.0
2024-01-12,28496.0
2024-01-15,28465.0
2024-01-16,28472.0
2024-01-17,28664.0
2024-01-18,28643.0
2024-01-19,28298.0
2024-01-22,28298.0
2024-01-23,28378.0
2024-01-24,28155.0
2024-01-25,27964.0
2024-01-26,27942.0
2024-01-29,28062.0
2024-01-30,28178.0
2024-01-31,28274.0
2024-02-01,28319.0
2024-02-02,28302.0
