index,price
2023-09-19,
2023-09-20,200.0
2023-09-21,-509.0
2023-09-22,290.0
2023-09-25,7.0
2023-09-26,374.0
2023-09-27,-136.0
2023-09-28,198.0
2023-09-29,449.0
2023-10-02,-451.0
2023-10-03,277.0
2023-10-04,-89.0
2023-10-05,-30.0
2023-10-06,136.0
2023-10-09,394.0
2023-10-10,22.0
2023-10-11,-177.0
2023-10-12,55.0
2023-10-13,-130.0
2023-10-16,572.0
2023-10-17,165.0
2023-10-18,-275.0
2023-10-19,62.0
2023-10-20,110.0
2023-10-23,50.0
2023-10-24,7.0
2023-10-25,296.0
2023-10-26,-423.0
2023-10-27,53.0
2023-10-30,-91.0
2023-10-31,-110.0
2023-11-01,24.0
2023-11-02,-119.0
2023-11-03,121.0
2023-11-06,346.0
2023-11-07,87.0
2023-11-08,336.0
2023-11-09,-32.0
2023-11-10,250.0
2023-11-13,371.0
2023-11-14,-258.0
2023-11-15,123.0
2023-11-16,-216.0
2023-11-17,92.0
2023-11-20,113.0
2023-11-21,-43.0
2023-11-22,246.0
2023-11-23,23.0
2023-11-24,-1.0
2023-11-27,-637.0
2023-11-28,-26.0
2023-11-29,-321.0
2023-11-30,-132.0
2023-12-01,-141.0
2023-12-04,-291.0
2023-12-05,481.0
2023-12-06,-875.0
2023-12-07,-327.0
2023-12-08,-76.0
2023-12-11,-886.0
2023-12-12,243.0
2023-12-13,-30.0
2023-12-14,-100.0
2023-12-15,932.0
2023-12-18,188.0
2023-12-19,-231.0
2023-12-20,79.0
2023-12-21,-285.0
2023-12-22,630.0
2023-12-25,-23.0
2023-12-26,100.0
2023-12-27,-144.0
2023-12-28,147.0
2023-12-29,-148.0
2024-01-01,
2024-01-02,
2024-01-03,
2024-01-04,-37.0
2024-01-05,-136.0
2024-01-08,335.0
2024-01-09,-46.0
2024-01-10,-88.0
2024-01-11,62.0
2024-01-12,-62.0
2024-01-15,-31.0
2024-01-16,7.0
2024-01-17,192.0
2024-01-18,-21.0
2024-01-19,-345.0
2024-01-22,0.0
2024-01-23,80.0
2024-01-24,-223.0
2024-01-25,-191.0
2024-01-26,-22.0
2024-01-29,120.0
2024-01-30,116.0
2024-01-31,96.0
2024-02-01,45.0
2024-02-02,-17.0
2024-02-05,91.0
2024-02-06,93.0
2024-02-07,348.0
2024-02-08,83.0
2024-02-09,-23.0
2024-02-12,418.0
2024-02-13,-83.0
2024-02-14,231.0
2024-02-15,23.0
2024-02-16,-226.0
2024-02-19,123.0
2024-02-20,-293.0
2024-02-21,-517.0
2024-02-22,128.0
2024-02-23,
2024-02-26,
2024-02-27,163.0
2024-02-28,-58.0
2024-02-29,84.0
2024-03-01,98.0
2024-03-04,418.0
2024-03-05,-27.0
2024-03-06,-59.0
2024-03-07,56.0
2024-03-08,
2024-03-11,
2024-03-12,22.0
2024-03-13,-125.0
2024-03-14,-322.0
2024-03-15,121.0
2024-03-18,449.0
2024-03-19,1940.0
2024-03-20,9.0
2024-03-21,36.0
2024-03-22,-89.0
2024-03-25,-58.0
2024-03-26,-118.0
2024-03-27,120.0
2024-03-28,391.0
2024-03-29,-2.0
2024-04-01,96.0
2024-04-02,42.0
2024-04-03,587.0
2024-04-04,-72.0
2024-04-05,-1.0
2024-04-08,96.0
2024-04-09,-57.0
2024-04-10,-42.0
2024-04-11,78.0
2024-04-12,-56.0
2024-04-15,70.0
2024-04-16,14.0
2024-04-17,-235.0
2024-04-18,226.0
2024-04-19,-107.0
2024-04-22,550.0
2024-04-23,-528.0
2024-04-24,-36.0
2024-04-25,13.0
2024-04-26,38.0
2024-04-29,-116.0
2024-04-30,12.0
2024-05-01,
2024-05-02,
2024-05-03,67.0
2024-05-06,-170.0
2024-05-07,175.0
2024-05-08,290.0
2024-05-09,
2024-05-10,
2024-05-13,202.0
2024-05-14,259.0
2024-05-15,194.0
2024-05-16,149.0
2024-05-17,113.0
2024-05-20,-317.0
2024-05-21,-160.0
2024-05-22,331.0
2024-05-23,67.0
2024-05-24,-330.0
2024-05-27,-555.0
2024-05-28,154.0
2024-05-29,230.0
2024-05-30,-268.0
2024-05-31,-367.0
2024-06-03,-468.0
2024-06-04,435.0
2024-06-05,125.0
2024-06-06,-307.0
2024-06-07,744.0
2024-06-10,-250.0
2024-06-11,-45.0
2024-06-12,
2024-06-13,
2024-06-14,240.0
2024-06-17,-286.0
2024-06-18,-343.0
2024-06-19,-740.0
2024-06-20,410.0
2024-06-21,-22.0
2024-06-24,282.0
2024-06-25,325.0
2024-06-26,437.0
2024-06-27,355.0
2024-06-28,-206.0
2024-07-01,61.0
2024-07-02,174.0
2024-07-03,-69.0
2024-07-04,-556.0
2024-07-05,25.0
2024-07-08,-137.0
2024-07-09,-549.0
2024-07-10,-342.0
2024-07-11,1065.0
2024-07-12,-340.0
2024-07-15,-911.0
2024-07-16,-52.0
2024-07-17,185.0
2024-07-18,443.0
2024-07-19,76.0
2024-07-22,352.0
2024-07-23,-62.0
2024-07-24,251.0
2024-07-25,106.0
2024-07-26,-469.0
2024-07-29,-619.0
2024-07-30,382.0
2024-07-31,-286.0
2024-08-01,47.0
2024-08-02,-402.0
2024-08-05,-900.0
2024-08-06,200.0
2024-08-07,379.0
2024-08-08,-86.0
2024-08-09,-100.0
2024-08-12,-135.0
2024-08-13,255.0
2024-08-14,-217.0
2024-08-15,-439.0
2024-08-16,-25.0
2024-08-19,-906.0
2024-08-20,-346.0
2024-08-21,130.0
2024-08-22,-319.0
2024-08-23,-647.0
2024-08-26,735.0
2024-08-27,-444.0
2024-08-28,89.0
2024-08-29,-186.0
2024-08-30,-393.0
2024-09-02,-1088.0
2024-09-03,-317.0
2024-09-04,745.0
2024-09-05,255.0
2024-09-06,35.0
2024-09-09,926.0
2024-09-10,-314.0
2024-09-11,30.0
2024-09-12,-682.0
2024-09-13,439.0
2024-09-16,517.0
2024-09-17,251.0
2024-09-18,-130.0
2024-09-19,-114.0
2024-09-20,455.0
2024-09-23,298.0
2024-09-24,42.0
2024-09-25,-497.0
2024-09-26,-234.0
2024-09-27,266.0
2024-09-30,198.0
2024-10-01,-531.0
2024-10-02,-699.0
2024-10-03,315.0
2024-10-04,102.0
2024-10-07,-148.0
2024-10-08,-17.0
2024-10-09,-343.0
2024-10-10,-8.0
2024-10-11,-239.0
2024-10-14,348.0
2024-10-15,140.0
2024-10-16,-384.0
2024-10-17,-179.0
2024-10-18,-106.0
2024-10-21,158.0
2024-10-22,-251.0
2024-10-23,-244.0
2024-10-24,-118.0
2024-10-25,-595.0
2024-10-28,-426.0
2024-10-29,-32.0
2024-10-30,206.0
2024-10-31,-652.0
2024-11-01,-26.0
2024-11-04,
2024-11-05,
2024-11-06,370.0
2024-11-07,493.0
2024-11-08,432.0
2024-11-11,766.0
2024-11-12,-484.0
2024-11-13,284.0
2024-11-14,-950.0
2024-11-15,338.0
2024-11-18,-244.0
2024-11-19,-1128.0
2024-11-20,-287.0
2024-11-21,-184.0
2024-11-22,-75.0
2024-11-25,-521.0
2024-11-26,-798.0
2024-11-27,-71.0
2024-11-28,678.0
2024-11-29,651.0
2024-12-02,21.0
2024-12-03,-484.0
2024-12-04,-409.0
2024-12-05,412.0
2024-12-06,507.0
2024-12-09,34.0
2024-12-10,-700.0
2024-12-11,-17.0
2024-12-12,-150.0
2024-12-13,-31.0
2024-12-16,-528.0
2024-12-17,7.0
2024-12-18,156.0
2024-12-19,153.0
2024-12-20,2833.0
2024-12-23,749.0
2024-12-24,-96.0
2024-12-25,494.0
2024-12-26,86.0
2024-12-27,-34.0
2024-12-30,793.0
2024-12-31,
2025-01-01,
2025-01-02,
2025-01-03,
2025-01-06,-80.0
2025-01-07,
2025-01-08,
2025-01-09,-550.0
2025-01-10,681.0
2025-01-13,401.0
2025-01-14,-243.0
2025-01-15,-376.0
2025-01-16,589.0
2025-01-17,164.0
2025-01-20,-463.0
2025-01-21,102.0
2025-01-22,284.0
2025-01-23,-608.0
2025-01-24,272.0
2025-01-27,-557.0
2025-01-28,237.0
2025-01-29,279.0
2025-01-30,119.0
2025-01-31,-300.0
2025-02-03,-163.0
2025-02-04,-170.0
2025-02-05,286.0
2025-02-06,737.0
2025-02-07,-143.0
2025-02-10,714.0
2025-02-11,-26.0
2025-02-12,8.0
