index,price
2024-03-15,
2024-03-18,34.0
2024-03-19,-12.0
2024-03-20,11.0
2024-03-21,41.0
2024-03-22,-54.0
2024-03-25,35.0
2024-03-26,50.0
2024-03-27,-8.0
2024-03-28,-28.0
2024-03-29,22.0
2024-04-01,-4.0
2024-04-02,13.0
2024-04-03,-15.0
2024-04-04,11.0
2024-04-05,-1.0
2024-04-08,-10.0
2024-04-09,28.0
2024-04-10,-41.0
2024-04-11,7.0
2024-04-12,21.0
2024-04-15,-6.0
2024-04-16,-11.0
2024-04-17,-10.0
2024-04-18,-10.0
2024-04-19,-5.0
2024-04-22,15.0
2024-04-23,-12.0
2024-04-24,-26.0
2024-04-25,18.0
2024-04-26,60.0
2024-04-29,105.0
2024-04-30,14.0
2024-05-01,
2024-05-02,
2024-05-03,-25.0
2024-05-06,46.0
2024-05-07,-11.0
2024-05-08,15.0
2024-05-09,
2024-05-10,
2024-05-13,29.0
2024-05-14,-25.0
2024-05-15,4.0
2024-05-16,-12.0
2024-05-17,-68.0
2024-05-20,29.0
2024-05-21,-1.0
2024-05-22,-9.0
2024-05-23,-35.0
2024-05-24,-40.0
2024-05-27,-51.0
2024-05-28,41.0
2024-05-29,-17.0
2024-05-30,-17.0
2024-05-31,-17.0
2024-06-03,-42.0
2024-06-04,88.0
2024-06-05,-1.0
2024-06-06,-13.0
2024-06-07,23.0
2024-06-10,-33.0
2024-06-11,-8.0
2024-06-12,
2024-06-13,
2024-06-14,2.0
2024-06-17,-32.0
2024-06-18,-55.0
2024-06-19,-43.0
2024-06-20,40.0
2024-06-21,-29.0
2024-06-24,-45.0
2024-06-25,-41.0
2024-06-26,-7.0
2024-06-27,-57.0
2024-06-28,-27.0
2024-07-01,51.0
2024-07-02,12.0
2024-07-03,28.0
2024-07-04,-66.0
2024-07-05,-21.0
2024-07-08,2.0
2024-07-09,-75.0
2024-07-10,-31.0
2024-07-11,37.0
2024-07-12,-8.0
2024-07-15,14.0
2024-07-16,20.0
2024-07-17,-12.0
2024-07-18,58.0
2024-07-19,9.0
2024-07-22,-1.0
2024-07-23,-1.0
2024-07-24,-13.0
2024-07-25,-14.0
2024-07-26,-47.0
2024-07-29,1.0
2024-07-30,15.0
2024-07-31,37.0
2024-08-01,-12.0
2024-08-02,8.0
2024-08-05,-44.0
2024-08-06,24.0
2024-08-07,59.0
2024-08-08,41.0
2024-08-09,-1.0
2024-08-12,3.0
2024-08-13,32.0
2024-08-14,-32.0
2024-08-15,3.0
2024-08-16,-24.0
2024-08-19,-28.0
2024-08-20,-12.0
2024-08-21,15.0
2024-08-22,-13.0
2024-08-23,-81.0
2024-08-26,60.0
2024-08-27,-3.0
2024-08-28,16.0
2024-08-29,-4.0
2024-08-30,12.0
2024-09-02,-137.0
2024-09-03,15.0
2024-09-04,48.0
2024-09-05,-15.0
2024-09-06,-10.0
2024-09-09,58.0
2024-09-10,34.0
2024-09-11,-40.0
2024-09-12,-39.0
2024-09-13,3.0
2024-09-16,28.0
2024-09-17,-28.0
2024-09-18,-13.0
2024-09-19,-4.0
2024-09-20,-24.0
2024-09-23,6.0
2024-09-24,28.0
2024-09-25,-18.0
2024-09-26,-8.0
2024-09-27,11.0
2024-09-30,-17.0
2024-10-01,-5.0
2024-10-02,-5.0
2024-10-03,-11.0
2024-10-04,6.0
2024-10-07,-1.0
2024-10-08,-30.0
2024-10-09,-1.0
2024-10-10,0.0
2024-10-11,12.0
2024-10-14,-10.0
2024-10-15,-8.0
2024-10-16,-11.0
2024-10-17,-25.0
2024-10-18,-24.0
2024-10-21,47.0
2024-10-22,-10.0
2024-10-23,10.0
2024-10-24,-11.0
2024-10-25,-25.0
2024-10-28,-57.0
2024-10-29,15.0
2024-10-30,-5.0
2024-10-31,-16.0
2024-11-01,1.0
2024-11-04,
2024-11-05,
2024-11-06,14.0
2024-11-07,-12.0
2024-11-08,19.0
2024-11-11,51.0
2024-11-12,16.0
2024-11-13,5.0
2024-11-14,-30.0
2024-11-15,-11.0
2024-11-18,0.0
2024-11-19,-64.0
2024-11-20,6.0
2024-11-21,-17.0
2024-11-22,-9.0
2024-11-25,-2.0
2024-11-26,-82.0
2024-11-27,-9.0
2024-11-28,11.0
2024-11-29,-2.0
2024-12-02,-1.0
2024-12-03,-28.0
2024-12-04,-16.0
2024-12-05,12.0
2024-12-06,-11.0
2024-12-09,15.0
2024-12-10,-28.0
2024-12-11,-10.0
2024-12-12,-3.0
2024-12-13,-11.0
2024-12-16,-36.0
2024-12-17,8.0
2024-12-18,-1.0
2024-12-19,39.0
2024-12-20,65.0
2024-12-23,19.0
2024-12-24,23.0
2024-12-25,-4.0
2024-12-26,-11.0
2024-12-27,-3.0
2024-12-30,19.0
2024-12-31,
2025-01-01,
2025-01-02,
2025-01-03,
2025-01-06,-7.0
2025-01-07,
2025-01-08,
2025-01-09,-50.0
2025-01-10,36.0
2025-01-13,6.0
2025-01-14,-21.0
2025-01-15,-4.0
2025-01-16,48.0
2025-01-17,2.0
2025-01-20,-6.0
2025-01-21,-5.0
2025-01-22,1.0
2025-01-23,-43.0
2025-01-24,13.0
2025-01-27,-19.0
2025-01-28,17.0
2025-01-29,-3.0
2025-01-30,14.0
2025-01-31,-20.0
2025-02-03,5.0
2025-02-04,-22.0
2025-02-05,-28.0
2025-02-06,-1.0
2025-02-07,-16.0
2025-02-10,-36.0
2025-02-11,22.0
2025-02-12,6.0
