index,price
2024-03-15,
2024-03-18,-15.0
2024-03-19,42.0
2024-03-20,-42.0
2024-03-21,16.0
2024-03-22,-15.0
2024-03-25,6.0
2024-03-26,7.0
2024-03-27,2.0
2024-03-28,-14.0
2024-03-29,39.0
2024-04-01,45.0
2024-04-02,-6.0
2024-04-03,49.0
2024-04-04,-9.0
2024-04-05,-18.0
2024-04-08,-6.0
2024-04-09,-32.0
2024-04-10,-3.0
2024-04-11,-37.0
2024-04-12,-2.0
2024-04-15,9.0
2024-04-16,5.0
2024-04-17,-25.0
2024-04-18,-13.0
2024-04-19,11.0
2024-04-22,11.0
2024-04-23,-23.0
2024-04-24,-8.0
2024-04-25,8.0
2024-04-26,14.0
2024-04-29,-7.0
2024-04-30,-3.0
2024-05-01,
2024-05-02,
2024-05-03,-37.0
2024-05-06,97.0
2024-05-07,-84.0
2024-05-08,45.0
2024-05-09,
2024-05-10,
2024-05-13,59.0
2024-05-14,14.0
2024-05-15,-62.0
2024-05-16,-38.0
2024-05-17,-20.0
2024-05-20,-39.0
2024-05-21,4.0
2024-05-22,-13.0
2024-05-23,-13.0
2024-05-24,-41.0
2024-05-27,-28.0
2024-05-28,15.0
2024-05-29,-106.0
2024-05-30,63.0
2024-05-31,-47.0
2024-06-03,-6.0
2024-06-04,68.0
2024-06-05,12.0
2024-06-06,-56.0
2024-06-07,64.0
2024-06-10,-33.0
2024-06-11,-9.0
2024-06-12,
2024-06-13,
2024-06-14,9.0
2024-06-17,-45.0
2024-06-18,-43.0
2024-06-19,-100.0
2024-06-20,51.0
2024-06-21,-27.0
2024-06-24,-45.0
2024-06-25,24.0
2024-06-26,27.0
2024-06-27,-29.0
2024-06-28,-13.0
2024-07-01,12.0
2024-07-02,-16.0
2024-07-03,-29.0
2024-07-04,-9.0
2024-07-05,-5.0
2024-07-08,28.0
2024-07-09,-89.0
2024-07-10,-42.0
2024-07-11,62.0
2024-07-12,-95.0
2024-07-15,-35.0
2024-07-16,25.0
2024-07-17,5.0
2024-07-18,49.0
2024-07-19,61.0
2024-07-22,10.0
2024-07-23,21.0
2024-07-24,-13.0
2024-07-25,1.0
2024-07-26,-65.0
2024-07-29,-52.0
2024-07-30,29.0
2024-07-31,-18.0
2024-08-01,29.0
2024-08-02,-42.0
2024-08-05,-50.0
2024-08-06,3.0
2024-08-07,40.0
2024-08-08,-5.0
2024-08-09,0.0
2024-08-12,-1.0
2024-08-13,6.0
2024-08-14,-18.0
2024-08-15,-5.0
2024-08-16,4.0
2024-08-19,-39.0
2024-08-20,21.0
2024-08-21,-5.0
2024-08-22,-26.0
2024-08-23,-54.0
2024-08-26,44.0
2024-08-27,6.0
2024-08-28,2.0
2024-08-29,-13.0
2024-08-30,-47.0
2024-09-02,-59.0
2024-09-03,13.0
2024-09-04,55.0
2024-09-05,-2.0
2024-09-06,-5.0
2024-09-09,37.0
2024-09-10,-3.0
2024-09-11,-23.0
2024-09-12,-42.0
2024-09-13,30.0
2024-09-16,56.0
2024-09-17,29.0
2024-09-18,-22.0
2024-09-19,-22.0
2024-09-20,-11.0
2024-09-23,48.0
2024-09-24,-7.0
2024-09-25,-6.0
2024-09-26,-46.0
2024-09-27,1.0
2024-09-30,14.0
2024-10-01,-18.0
2024-10-02,-40.0
2024-10-03,29.0
2024-10-04,-33.0
2024-10-07,-8.0
2024-10-08,0.0
2024-10-09,-17.0
2024-10-10,9.0
2024-10-11,-18.0
2024-10-14,17.0
2024-10-15,7.0
2024-10-16,-9.0
2024-10-17,4.0
2024-10-18,-17.0
2024-10-21,-3.0
2024-10-22,-17.0
2024-10-23,-41.0
2024-10-24,13.0
2024-10-25,-38.0
2024-10-28,-38.0
2024-10-29,25.0
2024-10-30,5.0
2024-10-31,-40.0
2024-11-01,-13.0
2024-11-04,
2024-11-05,
2024-11-06,-2.0
2024-11-07,8.0
2024-11-08,21.0
2024-11-11,53.0
2024-11-12,-32.0
2024-11-13,13.0
2024-11-14,-34.0
2024-11-15,63.0
2024-11-18,58.0
2024-11-19,-22.0
2024-11-20,0.0
2024-11-21,-21.0
2024-11-22,-19.0
2024-11-25,-79.0
2024-11-26,-29.0
2024-11-27,24.0
2024-11-28,26.0
2024-11-29,-9.0
2024-12-02,-30.0
2024-12-03,-2.0
2024-12-04,-9.0
2024-12-05,19.0
2024-12-06,-9.0
2024-12-09,9.0
2024-12-10,-25.0
2024-12-11,-8.0
2024-12-12,-7.0
2024-12-13,-16.0
2024-12-16,-38.0
2024-12-17,7.0
2024-12-18,83.0
2024-12-19,14.0
2024-12-20,116.0
2024-12-23,-6.0
2024-12-24,-34.0
2024-12-25,-27.0
2024-12-26,16.0
2024-12-27,9.0
2024-12-30,30.0
2024-12-31,
2025-01-01,
2025-01-02,
2025-01-03,
2025-01-06,-10.0
2025-01-07,
2025-01-08,
2025-01-09,-38.0
2025-01-10,30.0
2025-01-13,47.0
2025-01-14,10.0
2025-01-15,-22.0
2025-01-16,74.0
2025-01-17,9.0
2025-01-20,-30.0
2025-01-21,29.0
2025-01-22,-18.0
2025-01-23,-46.0
2025-01-24,8.0
2025-01-27,-9.0
2025-01-28,19.0
2025-01-29,20.0
2025-01-30,-1.0
2025-01-31,-27.0
2025-02-03,-13.0
2025-02-04,-7.0
2025-02-05,1.0
2025-02-06,43.0
2025-02-07,-10.0
2025-02-10,41.0
2025-02-11,9.0
2025-02-12,-12.0
