index,price
2023-09-19,
2023-09-20,0.4286838758173231
2023-09-21,-2.288512383209402
2023-09-22,-2.0378971942700437
2023-09-25,-3.139284998293012
2023-09-26,-2.611674074210153
2023-09-27,-1.5630473625954704
2023-09-28,-1.1013878040229685
2023-09-29,-1.292646764003005
2023-10-02,-1.1277683502271116
2023-10-03,-1.450930041227863
2023-10-04,-1.4905008605340775
2023-10-05,-1.2882735231861566
2023-10-06,-0.9664922673223872
2023-10-09,-0.9207462001859258
2023-10-10,0.4906924929559314
2023-10-11,-0.0749216600708722
2023-10-12,0.7563069618890521
2023-10-13,-0.8523009432204047
2023-10-16,0.4451790750100961
2023-10-17,1.0218794267465316
2023-10-18,0.21023836139266305
2023-10-19,-0.13594066908350744
2023-10-20,1.5498170410067993
2023-10-23,2.0186260887179697
2023-10-24,1.4535678399563459
2023-10-25,0.8736148594314531
2023-10-26,0.08714383783863977
2023-10-27,-0.8333198934891728
2023-10-30,-2.15161443629552
2023-10-31,-4.120908276333226
2023-11-01,-4.915556343391149
2023-11-02,-8.93879334067449
2023-11-03,-8.13438418183002
2023-11-06,-7.010347841332005
2023-11-07,-6.496428178730444
2023-11-08,-6.892943970450639
2023-11-09,-6.482299446022905
2023-11-10,-6.690241137214362
2023-11-13,-6.561596295952845
2023-11-14,-7.7018350772555
2023-11-15,-8.155008658915316
2023-11-16,-8.898448698498841
2023-11-17,-8.558261478995657
2023-11-20,-8.634059694003213
2023-11-21,-7.572686451414015
2023-11-22,-7.392250111017874
2023-11-23,-8.218892501568682
2023-11-24,-8.526074039203401
2023-11-27,-10.318780730361349
2023-11-28,-10.814704124153893
2023-11-29,-11.377964961870449
2023-11-30,-12.076869644258943
2023-12-01,-12.466026159796028
2023-12-04,-14.366795336283936
2023-12-05,-13.392142053507419
2023-12-06,-15.17433857641616
2023-12-07,-16.30685707673062
2023-12-08,-15.720469603436614
2023-12-11,-17.469228319893297
2023-12-12,-18.516753118319
2023-12-13,-17.729682008127057
2023-12-14,-18.76378901711821
2023-12-15,-17.304971281610285
2023-12-18,-16.726320522616156
2023-12-19,-16.97513196397543
2023-12-20,-14.791190704747383
2023-12-21,-14.577334463516904
2023-12-22,-14.228046012697328
2023-12-25,-13.478792974631187
2023-12-26,-13.734512789884326
2023-12-27,-13.556305782729067
2023-12-28,-14.030808369794038
2023-12-29,-14.548270864464328
2024-01-01,
2024-01-02,
2024-01-03,
2024-01-04,-14.512262594790176
2024-01-05,-14.828689063060406
2024-01-08,-13.566557166204957
2024-01-09,-13.69925748151462
2024-01-10,-14.39198985499521
2024-01-11,-11.733217454218947
2024-01-12,-11.67895826290673
2024-01-15,-11.277144270350624
2024-01-16,-11.792555007813357
2024-01-17,-10.755514442839688
2024-01-18,-11.149571419319084
2024-01-19,-10.575056755901596
2024-01-22,-10.597218872692517
2024-01-23,-9.27873608741758
2024-01-24,-11.086366614014
2024-01-25,-10.973217094119837
2024-01-26,-11.016506457242363
2024-01-29,-10.972359183977389
2024-01-30,-9.92924244090127
2024-01-31,-9.523688680212311
2024-02-01,-8.269732987874633
2024-02-02,-8.726270281713111
2024-02-05,-7.519050175027912
2024-02-06,-8.102329680139917
2024-02-07,-7.870691980077645
2024-02-08,-6.808273682941612
2024-02-09,-4.1459234273121695
2024-02-12,-5.125902106373463
2024-02-13,-3.8296011852032725
2024-02-14,-2.820079630778944
2024-02-15,-3.2107995115122216
2024-02-16,-3.6849704843106816
2024-02-19,-5.61669307019265
2024-02-20,-6.662058088660849
2024-02-21,-6.7577299468501915
2024-02-22,-7.683786358802897
2024-02-23,
2024-02-26,
2024-02-27,-8.610493025886372
2024-02-28,-8.184073525801468
2024-02-29,-7.33118824487287
2024-03-01,-5.501367901856143
2024-03-04,-4.395912421110544
2024-03-05,-4.492305153364521
2024-03-06,-4.134465375542402
2024-03-07,-4.456552841375824
2024-03-08,
2024-03-11,
2024-03-12,-0.9187291878547477
2024-03-13,2.4624384947485844
2024-03-14,0.6780027184300355
2024-03-15,0.4576075127408721
2024-03-18,0.11567007126730444
2024-03-19,0.36988877958102173
2024-03-20,-0.21417974208938706
2024-03-21,3.96448733919566
2024-03-22,2.6894267916589873
2024-03-25,5.143783699417506
2024-03-26,6.535609620130833
2024-03-27,10.183804072555594
2024-03-28,10.690401542611815
2024-03-29,12.65739338821717
2024-04-01,17.94744528259817
2024-04-02,18.02582912439726
2024-04-03,18.270962973899316
2024-04-04,17.966552565533604
2024-04-05,17.90577606502019
2024-04-08,22.539222588024728
2024-04-09,18.24354087659983
2024-04-10,17.538198977689632
2024-04-11,17.309069065342065
2024-04-12,17.853323369497133
2024-04-15,18.600334192029507
2024-04-16,19.209235899896733
2024-04-17,21.846833886251883
2024-04-18,21.512798266027342
2024-04-19,21.378472522596187
2024-04-22,24.371037792657496
2024-04-23,24.009618290803964
2024-04-24,22.452768563216306
2024-04-25,22.416908824691586
2024-04-26,22.366035701004346
2024-04-29,23.168241924447674
2024-04-30,22.198137624458482
2024-05-01,
2024-05-02,
2024-05-03,23.348608009482998
2024-05-06,23.224894292978476
2024-05-07,22.745242865089207
2024-05-08,24.92104042699254
2024-05-09,
2024-05-10,
2024-05-13,25.53599934974301
2024-05-14,27.09195140686913
2024-05-15,29.39033692082003
2024-05-16,30.096241357448722
2024-05-17,30.153144171514157
2024-05-20,28.80339607547686
2024-05-21,31.128734111888804
2024-05-22,30.779674557706205
2024-05-23,29.154621794767383
2024-05-24,27.413827124216375
2024-05-27,23.815427084085318
2024-05-28,23.70347458739642
2024-05-29,23.838542337138215
2024-05-30,21.964679195867635
2024-05-31,20.33809747355341
2024-06-03,21.280382288195554
2024-06-04,22.69062402861104
2024-06-05,22.457093240590083
2024-06-06,22.17893277395696
2024-06-07,24.708559918654814
2024-06-10,23.273925031143897
2024-06-11,23.999083099645656
2024-06-12,
2024-06-13,
2024-06-14,23.767366773777535
2024-06-17,23.451601399436683
2024-06-18,20.674407297829287
2024-06-19,20.053835804138007
2024-06-20,21.198876828046636
2024-06-21,20.565131947370954
2024-06-24,19.67949295494097
2024-06-25,19.433814767456152
2024-06-26,19.562254758328752
2024-06-27,19.15609461571995
2024-06-28,19.350716413257768
2024-07-01,19.448291477772653
2024-07-02,20.07642864480783
2024-07-03,19.32618854037732
2024-07-04,17.579290689422148
2024-07-05,18.006226011856196
2024-07-08,17.152651563109004
2024-07-09,16.669566740590064
2024-07-10,16.387156167226472
2024-07-11,16.433604734980552
2024-07-12,16.495426470925747
2024-07-15,15.622956811627551
2024-07-16,15.676340756255414
2024-07-17,15.112434767551305
2024-07-18,16.59862192167597
