index,price
2023-09-19,
2023-09-20,-1.5710342801112878
2023-09-21,-3.829194436328753
2023-09-22,-3.771127460883155
2023-09-25,-3.1614242187044512
2023-09-26,-4.167918459761372
2023-09-27,-5.045374977605867
2023-09-28,-5.4357140903234695
2023-09-29,-4.258244866010077
2023-10-02,-3.9227467856577505
2023-10-03,-4.26147080909037
2023-10-04,-4.4582533369893325
2023-10-05,-4.386686142168797
2023-10-06,-3.735052103718864
2023-10-09,-3.6811009634927783
2023-10-10,0.4863752109373114
2023-10-11,0.023358558884857217
2023-10-12,-4.67330936599292
2023-10-13,-2.9715083222928604
2023-10-16,-2.3593924716373307
2023-10-17,-1.676719597126504
2023-10-18,-1.3089912008730107
2023-10-19,-1.915534004648942
2023-10-20,-1.9654819804354902
2023-10-23,-3.1919301320462283
2023-10-24,-3.880750591887134
2023-10-25,-4.067745633427958
2023-10-26,-3.340133197108779
2023-10-27,-3.196507457230755
2023-10-30,-3.586929179321029
2023-10-31,-3.3800529802973047
2023-11-01,-5.288257630663043
2023-11-02,-4.60863311898561
2023-11-03,-4.7926996438746015
2023-11-06,-5.290744500640046
2023-11-07,-5.885620437360458
2023-11-08,-7.100743856100696
2023-11-09,-6.836606545366135
2023-11-10,-7.26533348507015
2023-11-13,-8.11830566645551
2023-11-14,-8.495640052813645
2023-11-15,-9.169162826492887
2023-11-16,-10.44616339621243
2023-11-17,-9.81080263191798
2023-11-20,-11.731008969093978
2023-11-21,-10.509755959007267
2023-11-22,-10.881417671897115
2023-11-23,-10.813021014679254
2023-11-24,-10.302577379023385
2023-11-27,-9.798985347556227
2023-11-28,-8.474065572399603
2023-11-29,-8.181363013144951
2023-11-30,-7.25439596696474
2023-12-01,-5.8325821086142
2023-12-04,-5.176657889242788
2023-12-05,-4.653671629973394
2023-12-06,-3.6765390473201847
2023-12-07,-5.052863185478777
2023-12-08,-7.586553883806735
2023-12-11,-9.580628491504392
2023-12-12,-10.697972490906087
2023-12-13,-10.697972490906087
2023-12-14,-7.777594372845748
2023-12-15,-8.025970080514726
2023-12-18,-9.047969390331666
2023-12-19,-8.655722193820658
2023-12-20,-8.357511948827453
2023-12-21,-7.282311172964402
2023-12-22,-7.392266747425465
2023-12-25,-7.455299234642806
2023-12-26,-6.87707620595554
2023-12-27,-6.016374567553128
2023-12-28,-6.764608166320164
2023-12-29,-6.652813238726449
2024-01-01,
2024-01-02,
2024-01-03,
2024-01-04,-7.302290457050557
2024-01-05,-7.559183232628033
2024-01-08,-7.9506216478141365
2024-01-09,-8.832823286979357
2024-01-10,-8.929739042286856
2024-01-11,-10.038922307401426
2024-01-12,-8.178707552973782
2024-01-15,-9.368918229181338
2024-01-16,-9.61321120668486
2024-01-17,-9.763979054822283
2024-01-18,-9.546927396177752
2024-01-19,-10.487188881764402
2024-01-22,-11.13804237014756
2024-01-23,-10.863067548342999
2024-01-24,-10.448331652303345
2024-01-25,-10.142223067675928
2024-01-26,-9.136474411592832
2024-01-29,-10.166412656458718
2024-01-30,-9.258378484995767
2024-01-31,-8.287438526318168
2024-02-01,-8.047113666211995
2024-02-02,-8.192235727561924
2024-02-05,-9.359416089851045
2024-02-06,-8.163833980343648
2024-02-07,-8.351812470793663
2024-02-08,-9.87864554254148
2024-02-09,-10.060660851320016
2024-02-12,-10.381385941246393
2024-02-13,-10.84106147667064
2024-02-14,-10.897473048824615
2024-02-15,-9.155155305265641
2024-02-16,-9.262569842662762
2024-02-19,-8.554704855279631
2024-02-20,-8.478170298865642
2024-02-21,-8.120485664147521
2024-02-22,-7.817570805596412
2024-02-23,
2024-02-26,
2024-02-27,-7.520800398979365
2024-02-28,-8.650495214812437
2024-02-29,-8.688706367975342
2024-03-01,-6.900941196881454
2024-03-04,-5.971892402868509
2024-03-05,-4.165106823513306
2024-03-06,-4.0660292427221485
2024-03-07,-2.952709614706024
2024-03-08,
2024-03-11,
2024-03-12,-2.7520445665221738
2024-03-13,-1.5835005962307218
2024-03-14,-2.0137537774063246
2024-03-15,0.4488804915090965
2024-03-18,-1.0629085726215357
2024-03-19,-0.8244643475996045
2024-03-20,-0.2454700489703785
2024-03-21,0.6604014822599549
2024-03-22,0.8368810460350872
2024-03-25,1.862950240819619
2024-03-26,1.52651035426493
2024-03-27,2.581437317326138
2024-03-28,4.965287558844581
2024-03-29,5.465759579993425
2024-04-01,6.923846498720224
2024-04-02,8.760450091908382
2024-04-03,9.275905127316001
2024-04-04,9.350020600839883
2024-04-05,10.39905506118031
2024-04-08,12.360563747195247
2024-04-09,14.23034168115819
2024-04-10,14.722449373622831
2024-04-11,14.334194623273152
2024-04-12,17.896123604898072
2024-04-15,14.441570944345711
2024-04-16,17.156955019438186
2024-04-17,16.823201855887493
2024-04-18,15.662613189917323
2024-04-19,15.082693664464252
2024-04-22,12.470801794789901
2024-04-23,11.327701726515901
2024-04-24,11.089195124864226
2024-04-25,11.051869383365897
2024-04-26,12.004927916270876
2024-04-29,12.212648762471742
2024-04-30,10.54214891200003
2024-05-01,
2024-05-02,
2024-05-03,10.031922552526884
2024-05-06,10.784342669762175
2024-05-07,10.08682804482494
2024-05-08,10.391752235753268
2024-05-09,
2024-05-10,
2024-05-13,8.642754222152991
2024-05-14,9.056843971500586
2024-05-15,9.474440074342597
2024-05-16,9.427641461966248
2024-05-17,10.09712134784978
2024-05-20,11.229863446659245
2024-05-21,10.458784170220936
2024-05-22,9.214466182922182
2024-05-23,7.465798839934065
2024-05-24,6.568018164249303
2024-05-27,6.0987458433855295
2024-05-28,5.925318357932894
2024-05-29,5.907590853335393
2024-05-30,6.3057922404858076
2024-05-31,5.604961826282519
2024-06-03,4.711069271143522
2024-06-04,4.005069709200108
2024-06-05,5.581406294736505
2024-06-06,6.419075975688396
2024-06-07,3.905271121783458
2024-06-10,3.425467200979398
2024-06-11,4.091431245683447
2024-06-12,
2024-06-13,
2024-06-14,4.856230549007095
2024-06-17,2.605034470382641
2024-06-18,1.7816298002645237
2024-06-19,0.031053655842643968
2024-06-20,3.9787440888275167
2024-06-21,4.031266428623758
2024-06-24,2.5598526103237393
2024-06-25,3.091617745675984
2024-06-26,1.7404083287849414
2024-06-27,2.238565459033696
2024-06-28,2.802549378944809
2024-07-01,3.4222922449954307
2024-07-02,3.2432389395474437
2024-07-03,5.02437343849625
2024-07-04,5.3388966402896765
2024-07-05,5.555571100640603
2024-07-08,4.7240481367279425
2024-07-09,4.553943375795207
2024-07-10,5.3819348561661355
2024-07-11,6.316437822990848
2024-07-12,6.183888618603407
2024-07-15,6.701003388199778
2024-07-16,8.023319170384337
2024-07-17,7.896229617267495
2024-07-18,7.919518491443544
2024-07-19,5.887604818947019
2024-07-22,5.2830652302751755
2024-07-23,5.101039999283843
2024-07-24,5.035751566970846
2024-07-25,2.832471469096411
2024-07-26,4.1072653789631515
2024-07-29,3.3305672358294496
2024-07-30,3.9276547163884157
2024-07-31,4.5179491533003615
2024-08-01,4.628390666694498
2024-08-02,3.9772776667467413
2024-08-05,2.677242046401188
2024-08-06,2.6109743778387404
2024-08-07,2.5283517469451913
2024-08-08,3.960990800609728
2024-08-09,4.408021896533104
2024-08-12,7.291227442608344
2024-08-13,8.578642039699673
2024-08-14,5.891148467028877
2024-08-15,6.364170168424286
2024-08-16,7.300799524271006
2024-08-19,8.473547839588427
2024-08-20,8.993431444740722
2024-08-21,8.663194742242789
2024-08-22,7.44346199834748
2024-08-23,9.00549197353097
2024-08-26,9.934671152932689
2024-08-27,10.4900783479583
2024-08-28,9.997013353832894
2024-08-29,11.185593416253425
2024-08-30,10.091519849946653
2024-09-02,9.001248004835064
2024-09-03,7.36919683726702
2024-09-04,8.387156010518398
2024-09-05,8.289098466432916
2024-09-06,9.093241821268332
2024-09-09,9.328762689298138
2024-09-10,10.225887865256142
