index,price
2023-09-19,
2023-09-20,-2.1218805055337917
2023-09-21,-2.291630945976495
2023-09-22,-1.697504404427033
2023-09-25,-1.188253083098923
2023-09-26,0.3819384909960828
2023-09-27,0.8063145921028412
2023-09-28,1.6975044044270338
2023-09-29,2.588694216751226
2023-10-02,3.946697740292853
2023-10-03,3.522321639186095
2023-10-04,6.365641516601376
2023-10-05,7.106784406489677
2023-10-06,7.436236461817427
2023-10-09,6.295977294475609
2023-10-10,6.651972742464024
2023-10-11,9.194715285967424
2023-10-12,8.759440796201675
2023-10-13,9.930780487963633
2023-10-16,12.682163644231217
2023-10-17,12.743998501756176
2023-10-18,12.712575770933178
2023-10-19,12.84014616431824
2023-10-20,12.547063648526821
2023-10-23,12.57988345815422
2023-10-24,15.226146245030748
2023-10-25,14.514583877615603
2023-10-26,13.599639945602817
2023-10-27,11.447064025606409
2023-10-30,10.23266734240721
2023-10-31,9.464498669233368
2023-11-01,9.091365697554945
2023-11-02,9.498420475726336
2023-11-03,8.641929096971186
2023-11-06,8.975250102603678
2023-11-07,9.116750361423424
2023-11-08,8.134116463016241
2023-11-09,8.220951033285125
2023-11-10,9.255403456146492
2023-11-13,8.665963062961284
2023-11-14,9.323225924970954
2023-11-15,8.930334118487789
2023-11-16,8.530517161409
2023-11-17,8.780956239514046
2023-11-20,7.951227203257313
2023-11-21,8.722558818142476
2023-11-22,8.366781622544226
2023-11-23,10.408789153250629
2023-11-24,9.417111226098363
2023-11-27,8.61336693404923
2023-11-28,9.266918280608342
2023-11-29,7.631036200765172
2023-11-30,6.868593853799014
2023-12-01,7.577679808489044
2023-12-04,5.902309204756584
2023-12-05,5.4496615002723905
2023-12-06,5.111692791769149
2023-12-07,4.04691225910946
2023-12-08,3.889539919397132
2023-12-11,3.6970107751371715
2023-12-12,3.5988635397955306
2023-12-13,3.3321374381891986
2023-12-14,3.434110728081318
2023-12-15,6.925204014334391
2023-12-18,6.839752632992669
2023-12-19,5.533194916342834
2023-12-20,4.929629637031109
2023-12-21,7.524846065770974
2023-12-22,11.249802545356609
2023-12-25,9.714226352909746
2023-12-26,9.064902482059315
2023-12-27,6.418862574442005
2023-12-28,7.280755230861661
2023-12-29,8.509745982689147
2024-01-01,
2024-01-02,
2024-01-03,
2024-01-04,7.714255114508877
2024-01-05,7.895074832095471
2024-01-08,7.484228134402568
2024-01-09,8.510717303062945
2024-01-10,7.7344371921277295
2024-01-11,7.141114643576922
2024-01-12,6.818201149485041
2024-01-15,6.24690814394502
2024-01-16,6.515079492719896
2024-01-17,7.1982082584928335
2024-01-18,6.485126439615964
2024-01-19,6.112486177875539
2024-01-22,6.706055506424402
2024-01-23,6.9462526235425575
2024-01-24,6.383280745488125
2024-01-25,6.905149240490067
2024-01-26,6.577717665586116
2024-01-29,6.192864445893781
2024-01-30,5.931676011351116
2024-01-31,6.224534041848858
2024-02-01,7.713573338386462
2024-02-02,6.1573178768431
2024-02-05,4.436131741268226
2024-02-06,3.9623571730177187
2024-02-07,5.104642364586953
2024-02-08,4.076775720414819
2024-02-09,3.246371866699035
2024-02-12,3.3481437734239408
2024-02-13,3.322246157502835
2024-02-14,4.668105211409985
2024-02-15,4.17818804815018
2024-02-16,1.6624039184186667
2024-02-19,0.7413964190880938
2024-02-20,-0.09164295127554889
2024-02-21,-1.035492166906542
2024-02-22,-1.4879354020095101
2024-02-23,
2024-02-26,
2024-02-27,-3.38337340042568
2024-02-28,-2.608980419368642
2024-02-29,0.06657167272063225
2024-03-01,-1.451524571471457
2024-03-04,-0.7015784814025254
2024-03-05,-0.8736215137351833
2024-03-06,-1.0493941786524417
2024-03-07,-2.5081696443978343
2024-03-08,
2024-03-11,
2024-03-12,-2.863751199531615
2024-03-13,-2.545356200196416
2024-03-14,-3.9314332965380183
2024-03-15,-3.609331599393562
2024-03-18,-3.889363682717269
2024-03-19,-5.320764221635806
2024-03-20,-6.294302369011407
2024-03-21,-6.727640390989061
2024-03-22,-7.686770242828513
2024-03-25,-7.611885827794714
2024-03-26,-8.017404157326064
2024-03-27,-4.705797421195157
2024-03-28,-4.493346688822418
2024-03-29,-5.5757318866882635
2024-04-01,-4.531387037004642
2024-04-02,-3.040742463537682
2024-04-03,-2.745763531207664
2024-04-04,-2.4665691807175474
