index,price
2023-09-19,2986.0
2023-09-20,2914.0
2023-09-21,2869.0
2023-09-22,2937.0
2023-09-25,3008.0
2023-09-26,2957.0
2023-09-27,2982.0
2023-09-28,2964.0
2023-09-29,2982.0
2023-10-02,3038.0
2023-10-03,2993.0
2023-10-04,2958.0
2023-10-05,2856.0
2023-10-06,2890.0
2023-10-09,2925.0
2023-10-10,2998.0
2023-10-11,2951.0
2023-10-12,2995.0
2023-10-13,2984.0
2023-10-16,2990.0
2023-10-17,3005.0
2023-10-18,2996.0
2023-10-19,2974.0
2023-10-20,2942.0
2023-10-23,2905.0
2023-10-24,2909.0
2023-10-25,2861.0
2023-10-26,2830.0
2023-10-27,2782.0
2023-10-30,2805.0
2023-10-31,2805.0
2023-11-01,2809.0
2023-11-02,2755.0
2023-11-03,2690.0
2023-11-06,2747.0
2023-11-07,2904.0
2023-11-08,2925.0
2023-11-09,2879.0
2023-11-10,2806.0
2023-11-13,2826.0
2023-11-14,2752.0
2023-11-15,2785.0
2023-11-16,2749.0
2023-11-17,2764.0
2023-11-20,2728.0
2023-11-21,2713.0
2023-11-22,2735.0
2023-11-23,2703.0
2023-11-24,2702.0
2023-11-27,2575.0
2023-11-28,2613.0
2023-11-29,2571.0
2023-11-30,2494.0
2023-12-01,2451.0
2023-12-04,2255.0
2023-12-05,2430.0
2023-12-06,2366.0
2023-12-07,2384.0
2023-12-08,2370.0
2023-12-11,2300.0
2023-12-12,2265.0
2023-12-13,2265.0
2023-12-14,2240.0
2023-12-15,2327.0
2023-12-18,2423.0
2023-12-19,2433.0
2023-12-20,2430.0
2023-12-21,2434.0
2023-12-22,2488.0
2023-12-25,2515.0
2023-12-26,2480.0
2023-12-27,2392.0
2023-12-28,2396.0
2023-12-29,2406.0
2024-01-01,
2024-01-02,
2024-01-03,2450.0
2024-01-04,2453.0
2024-01-05,2453.0
2024-01-08,2631.0
2024-01-09,2690.0
2024-01-10,2669.0
2024-01-11,2722.0
2024-01-12,2819.0
2024-01-15,2928.0
2024-01-16,2893.0
2024-01-17,2911.0
2024-01-18,2909.0
2024-01-19,2932.0
2024-01-22,2980.0
2024-01-23,2948.0
2024-01-24,2942.0
2024-01-25,2918.0
