index,price
2023-09-19,
2023-09-20,
2023-09-21,
2023-09-22,
2023-09-25,
2023-09-26,
2023-09-27,
2023-09-28,
2023-09-29,
2023-10-02,
2023-10-03,
2023-10-04,
2023-10-05,
2023-10-06,
2023-10-09,
2023-10-10,
2023-10-11,0.11668369023663516
2023-10-12,-0.07676076453752763
2023-10-13,-0.20587403377781216
2023-10-16,-0.34951503041537174
2023-10-17,-0.4304783046984222
2023-10-18,-0.6088755106590154
2023-10-19,-0.7327251257131387
2023-10-20,-0.8810442601200908
2023-10-23,-1.0384945113740292
2023-10-24,-1.2058610681475683
2023-10-25,-1.396269015176392
2023-10-26,-1.6100433337019617
2023-10-27,-1.744883865655539
2023-10-30,-1.8176366704346982
2023-10-31,-1.9162614998022889
2023-11-01,-2.0592238132342726
2023-11-02,-2.1588295013948198
2023-11-03,-1.6002860282698452
2023-11-06,-1.1650195145862599
2023-11-07,-0.9212905713690829
2023-11-08,-0.7458412498697817
2023-11-09,-0.5125578944938225
2023-11-10,-0.32770176817228525
2023-11-13,-0.12868262132590558
2023-11-14,0.011022685180783864
2023-11-15,0.11191534259976765
2023-11-16,0.2020440347362784
2023-11-17,0.291276604969255
2023-11-20,0.3017660500545445
2023-11-21,0.204446287266147
2023-11-22,0.20441109607766927
2023-11-23,0.19177571996382992
2023-11-24,0.14798686656913596
2023-11-27,-0.4965599040720414
2023-11-28,-1.032772682288019
2023-11-29,-1.4494939855818103
2023-11-30,-1.8860932463808244
2023-12-01,-2.3635500281827695
2023-12-04,-2.7056036822517067
2023-12-05,-3.0886639614204014
2023-12-06,-3.3544567343135565
2023-12-07,-3.664799088207336
2023-12-08,-3.910134569699666
2023-12-11,-4.100563023650213
2023-12-12,-4.272495119901117
2023-12-13,-4.28205809221565
2023-12-14,-4.4282601869643585
2023-12-15,-3.8422188161481197
2023-12-18,-3.5359603820294394
2023-12-19,-2.5105243002717095
2023-12-20,-1.9245789133241402
2023-12-21,-1.4690503237780335
2023-12-22,-0.8365666827444911
2023-12-25,-0.30346882847937096
2023-12-26,0.21374979490204504
2023-12-27,0.6960387868483036
2023-12-28,1.1582308519726183
2023-12-29,1.6776081929899145
2024-01-01,2.0137329463452702
2024-01-02,2.2708959671937863
2024-01-03,2.8113373690127856
2024-01-04,3.2762191592539454
2024-01-05,3.763520813929072
2024-01-08,3.572781534531618
2024-01-09,3.6495494198370393
2024-01-10,3.212433061952428
2024-01-11,3.706846449636722
2024-01-12,4.011513871664153
2024-01-15,4.1365580952899945
2024-01-16,4.308016046946592
2024-01-17,4.402811058130916
2024-01-18,4.394395693315207
2024-01-19,4.354066059285264
2024-01-22,4.413151223135672
2024-01-23,4.603783391159986
2024-01-24,4.705509103685854
2024-01-25,4.484829034214836
2024-01-26,4.147582943038075
2024-01-29,3.9644950711334537
2024-01-30,3.822994721396225
2024-01-31,3.7972186092660767
2024-02-01,3.689068691419819
2024-02-02,3.039285900699261
2024-02-05,2.6090237143710584
2024-02-06,2.1669616214724536
2024-02-07,1.583760198042311
2024-02-08,1.1356587765304744
2024-02-09,0.8790842711536846
2024-02-12,0.6651286108937655
2024-02-13,0.37789693240735156
2024-02-14,0.1002893340553146
2024-02-15,-0.021322717974129546
2024-02-16,-0.14727298982748094
2024-02-19,-0.11621220488245965
2024-02-20,-0.45315900843742685
2024-02-21,-0.9604187162830505
2024-02-22,-1.3127235492607545
2024-02-23,-1.5313438777917117
