index,price
2023-09-19,
2023-09-20,
2023-09-21,
2023-09-22,
2023-09-25,
2023-09-26,
2023-09-27,
2023-09-28,
2023-09-29,
2023-10-02,
2023-10-03,
2023-10-04,
2023-10-05,
2023-10-06,
2023-10-09,
2023-10-10,
2023-10-11,
2023-10-12,
2023-10-13,
2023-10-16,
2023-10-17,
2023-10-18,
2023-10-19,
2023-10-20,
2023-10-23,
2023-10-24,
2023-10-25,
2023-10-26,
2023-10-27,
2023-10-30,
2023-10-31,
2023-11-01,
2023-11-02,-0.38136877868914576
2023-11-03,-0.43078193302960804
2023-11-06,-0.4027400850185597
2023-11-07,-0.43983098705968493
2023-11-08,-0.45596190921183777
2023-11-09,-0.48330345232227717
2023-11-10,-0.5374777726707991
2023-11-13,-0.6310740640480451
2023-11-14,-0.6832851861239165
2023-11-15,-0.7093986055420576
2023-11-16,-0.7530771427995431
2023-11-17,-0.7755823049649595
2023-11-20,-0.7865519089635532
2023-11-21,-0.873459892321287
2023-11-22,-0.9304278374841408
2023-11-23,-0.98971868397596
2023-11-24,-1.1096646485942088
2023-11-27,-1.1896720369561733
2023-11-28,-1.2305361211806412
2023-11-29,-1.2984337183040238
2023-11-30,-1.338472303861503
2023-12-01,-1.5267847789179188
2023-12-04,-1.7037578152181492
2023-12-05,-1.806698451979031
2023-12-06,-1.9607577593068766
2023-12-07,-2.120618119254748
2023-12-08,-2.2508632422244563
2023-12-11,-2.3935983757811283
2023-12-12,-2.3252583183351274
2023-12-13,-2.342926630174863
2023-12-14,-2.3658024410387615
2023-12-15,-2.2719179806371685
2023-12-18,-2.1577143372355025
2023-12-19,-2.134560776421772
2023-12-20,-2.092744763923797
2023-12-21,-1.9886727427328097
2023-12-22,-2.026313493214536
2023-12-25,-1.9571814032355874
2023-12-26,-1.9363395875170544
2023-12-27,-1.9016931180704977
2023-12-28,-1.823044300057748
2023-12-29,-1.6821342774082124
2024-01-01,-1.6064215624311262
2024-01-02,-1.5425444489075901
2024-01-03,-1.4075754144400139
2024-01-04,-1.358012538133091
2024-01-05,-1.314709721188548
2024-01-08,-0.8972986794281226
2024-01-09,-0.6742679370959928
2024-01-10,-0.4991307334423434
2024-01-11,-0.35192912666500287
2024-01-12,-0.17774307341822548
2024-01-15,-0.05722224059406589
2024-01-16,0.3310893139068778
2024-01-17,0.6146156381496868
2024-01-18,0.8106203168824163
2024-01-19,1.026481634712014
2024-01-22,1.3499981018462794
2024-01-23,1.6258064549113915
2024-01-24,1.9055141027246054
2024-01-25,2.036714072751794
2024-01-26,2.287313736532926
2024-01-29,2.532894488370918
2024-01-30,2.663900912758537
2024-01-31,2.7571307439655883
2024-02-01,2.9151872033552975
2024-02-02,3.031271094881575
2024-02-05,3.130162230697745
2024-02-06,3.3871243068290546
2024-02-07,3.618441958336721
2024-02-08,3.9422011851582743
2024-02-09,4.329428080352187
2024-02-12,4.486005280100981
2024-02-13,4.803055693343877
2024-02-14,5.049256787436875
2024-02-15,5.243227388741154
2024-02-16,5.393305090845111
2024-02-19,5.717884496533959
2024-02-20,5.700797828551673
2024-02-21,5.24067683450045
2024-02-22,5.20847277949493
2024-02-23,5.103944525826873
2024-02-26,5.118467854987651
2024-02-27,5.1710902004679475
2024-02-28,4.913521003096687
2024-02-29,4.93753653078384
2024-03-01,4.961719287516622
2024-03-04,4.9833876102356385
2024-03-05,4.9317715424635455
2024-03-06,4.94216200638128
2024-03-07,5.104718879821531
