index,price
2023-09-19,
2023-09-20,
2023-09-21,
2023-09-22,
2023-09-25,
2023-09-26,
2023-09-27,
2023-09-28,
2023-09-29,
2023-10-02,
2023-10-03,
2023-10-04,
2023-10-05,
2023-10-06,
2023-10-09,
2023-10-10,
2023-10-11,
2023-10-12,
2023-10-13,
2023-10-16,
2023-10-17,
2023-10-18,
2023-10-19,
2023-10-20,
2023-10-23,
2023-10-24,
2023-10-25,
2023-10-26,
2023-10-27,
2023-10-30,
2023-10-31,
2023-11-01,
2023-11-02,
2023-11-03,
2023-11-06,
2023-11-07,
2023-11-08,
2023-11-09,
2023-11-10,
2023-11-13,
2023-11-14,
2023-11-15,
2023-11-16,
2023-11-17,
2023-11-20,
2023-11-21,
2023-11-22,
2023-11-23,
2023-11-24,
2023-11-27,
2023-11-28,
2023-11-29,
2023-11-30,
2023-12-01,
2023-12-04,
2023-12-05,
2023-12-06,
2023-12-07,
2023-12-08,
2023-12-11,
2023-12-12,
2023-12-13,
2023-12-14,
2023-12-15,
2023-12-18,-0.9305691748147207
2023-12-19,-0.9551502651189213
2023-12-20,-0.9734960977663937
2023-12-21,-0.9930659125865777
2023-12-22,-1.044904515887462
2023-12-25,-1.0989223219710778
2023-12-26,-1.1707066272554458
2023-12-27,-1.2605133127524877
2023-12-28,-1.3464343090839155
2023-12-29,-1.4210037060556593
2024-01-01,-1.4243909198678506
2024-01-02,-1.4138322428809853
2024-01-03,-1.452016988130989
2024-01-04,-1.5300369650072883
2024-01-05,-1.5871983777931746
2024-01-08,-1.6509702549197935
2024-01-09,-1.750610001093585
2024-01-10,-1.8136168478595498
2024-01-11,-1.8971832024634334
2024-01-12,-1.9544536360963476
2024-01-15,-2.041474892529407
2024-01-16,-2.0993664045834106
2024-01-17,-2.164187163417303
2024-01-18,-2.021837705733328
2024-01-19,-2.0431557161844176
2024-01-22,-2.067819614712109
2024-01-23,-2.065947564672302
2024-01-24,-2.043596848189885
2024-01-25,-2.0510217143065015
2024-01-26,-1.9809816204280257
2024-01-29,-2.0268999822820386
2024-01-30,-2.092692464710309
2024-01-31,-1.9863760631675944
2024-02-01,-2.0191307882149108
2024-02-02,-2.029938541851885
2024-02-05,-2.0313313788586167
2024-02-06,-2.0599386478798873
2024-02-07,-2.075540551249364
2024-02-08,-2.0349130086320266
2024-02-09,-2.079598555863898
2024-02-12,-2.1091842148760334
2024-02-13,-2.146954882166485
2024-02-14,-2.2002762656605976
2024-02-15,-2.24926563327843
2024-02-16,-2.3039778238066733
2024-02-19,-2.3422797323579183
2024-02-20,-2.362819030922614
2024-02-21,-2.3727823510531736
2024-02-22,-2.4687135357622716
2024-02-23,-2.4266923932073383
2024-02-26,-2.494556888089184
2024-02-27,-2.5885730993997553
2024-02-28,-2.417401794181406
2024-02-29,-2.4050578264492195
2024-03-01,-2.4738822561798126
2024-03-04,-2.486844695917902
2024-03-05,-2.503484430085102
2024-03-06,-2.6403830620818067
2024-03-07,-2.6775191858083316
2024-03-08,-2.779315229148501
2024-03-11,-2.8468546099602934
2024-03-12,-2.6664475429594923
2024-03-13,-2.6681434027328983
2024-03-14,-2.7597258235028166
2024-03-15,-2.749936570949963
2024-03-18,-2.6879210319562854
2024-03-19,-2.8329098081958035
2024-03-20,-2.9787809715872076
2024-03-21,-3.0463135460573443
2024-03-22,-3.11383702967633
2024-03-25,-3.216129097613089
2024-03-26,-3.0479662933371467
2024-03-27,-3.1256325220869403
