index,price
2023-09-19,
2023-09-20,
2023-09-21,
2023-09-22,
2023-09-25,
2023-09-26,
2023-09-27,
2023-09-28,
2023-09-29,
2023-10-02,
2023-10-03,
2023-10-04,
2023-10-05,
2023-10-06,
2023-10-09,
2023-10-10,
2023-10-11,
2023-10-12,
2023-10-13,
2023-10-16,
2023-10-17,
2023-10-18,
2023-10-19,
2023-10-20,
2023-10-23,
2023-10-24,
2023-10-25,
2023-10-26,
2023-10-27,
2023-10-30,
2023-10-31,
2023-11-01,
2023-11-02,
2023-11-03,
2023-11-06,
2023-11-07,
2023-11-08,
2023-11-09,
2023-11-10,
2023-11-13,
2023-11-14,
2023-11-15,
2023-11-16,
2023-11-17,
2023-11-20,
2023-11-21,
2023-11-22,
2023-11-23,
2023-11-24,
2023-11-27,
2023-11-28,
2023-11-29,
2023-11-30,
2023-12-01,
2023-12-04,
2023-12-05,
2023-12-06,
2023-12-07,
2023-12-08,
2023-12-11,
2023-12-12,
2023-12-13,
2023-12-14,
2023-12-15,
2023-12-18,0.6276003010586926
2023-12-19,0.6253839576831233
2023-12-20,0.6419959984738903
2023-12-21,0.5969717683163306
2023-12-22,0.5865709040371082
2023-12-25,0.5887344584628625
2023-12-26,0.5834939090542083
2023-12-27,0.5663510014188764
2023-12-28,0.5601796550628583
2023-12-29,0.5756318057839146
2024-01-01,0.5835807904144582
2024-01-02,0.6011921627570033
2024-01-03,0.6121666497899942
2024-01-04,0.6211351864104586
2024-01-05,0.6115005442939632
2024-01-08,0.623070862795633
2024-01-09,0.6332490610113067
2024-01-10,0.658394459242462
2024-01-11,0.6727145411551794
2024-01-12,0.7119503268230307
2024-01-15,0.7574751920107969
2024-01-16,0.805765170520661
2024-01-17,0.7773093552020586
2024-01-18,0.7797086616857352
2024-01-19,0.7645063281703857
2024-01-22,0.7504631558368812
2024-01-23,0.6794836865569303
2024-01-24,0.7325447059302934
2024-01-25,0.7176108360573492
2024-01-26,0.6667821992860801
2024-01-29,0.6284234085454169
2024-01-30,0.6330702123811079
2024-01-31,0.6654425871040553
2024-02-01,0.6614667516000671
2024-02-02,0.6354978860685128
2024-02-05,0.6061266862345646
2024-02-06,0.558979762058273
2024-02-07,0.5291242367317202
2024-02-08,0.5218987321092485
2024-02-09,0.4802927395862122
2024-02-12,0.457410630259263
2024-02-13,0.4588633715729087
2024-02-14,0.43177213439548967
2024-02-15,0.37852130033342535
2024-02-16,0.36297880400375226
2024-02-19,0.2543120869992055
2024-02-20,0.05855953798149227
2024-02-21,-0.21605021852871342
2024-02-22,-0.35498419231398226
2024-02-23,-0.31499063796774207
2024-02-26,-0.39881504953228786
2024-02-27,-0.46942892710829065
2024-02-28,-0.4794301985211099
2024-02-29,-0.3979711810981976
2024-03-01,-0.295234173110248
2024-03-04,-0.23895316164163427
2024-03-05,-0.05058054432523007
2024-03-06,0.09085829116953126
2024-03-07,0.20531841891076863
2024-03-08,0.27079824751109816
2024-03-11,0.3799087178486532
2024-03-12,0.45941435216406146
2024-03-13,0.5762002349197051
2024-03-14,0.61580499763908
2024-03-15,0.5869052986370793
2024-03-18,0.5598135441372827
2024-03-19,0.5737671140444968
2024-03-20,0.6385187116050292
2024-03-21,0.6363110903721175
2024-03-22,0.5630166537115647
2024-03-25,0.5873201627485287
2024-03-26,0.6149194784793408
2024-03-27,0.6115908943004267
2024-03-28,0.6594668833753305
2024-03-29,0.7109802031346754
2024-04-01,0.7757169823700231
