index,price
2023-09-19,
2023-09-20,
2023-09-21,
2023-09-22,
2023-09-25,
2023-09-26,
2023-09-27,
2023-09-28,
2023-09-29,
2023-10-02,
2023-10-03,
2023-10-04,
2023-10-05,
2023-10-06,
2023-10-09,
2023-10-10,
2023-10-11,
2023-10-12,
2023-10-13,
2023-10-16,
2023-10-17,
2023-10-18,
2023-10-19,
2023-10-20,
2023-10-23,
2023-10-24,
2023-10-25,
2023-10-26,
2023-10-27,
2023-10-30,
2023-10-31,
2023-11-01,
2023-11-02,
2023-11-03,
2023-11-06,
2023-11-07,
2023-11-08,
2023-11-09,
2023-11-10,
2023-11-13,
2023-11-14,
2023-11-15,
2023-11-16,
2023-11-17,
2023-11-20,
2023-11-21,
2023-11-22,
2023-11-23,
2023-11-24,
2023-11-27,
2023-11-28,
2023-11-29,
2023-11-30,
2023-12-01,
2023-12-04,
2023-12-05,
2023-12-06,
2023-12-07,
2023-12-08,
2023-12-11,
2023-12-12,
2023-12-13,
2023-12-14,
2023-12-15,
2023-12-18,-0.3580002916745529
2023-12-19,-0.3723237929915832
2023-12-20,-0.4114731643191011
2023-12-21,-0.3694047741082906
2023-12-22,-0.2610728226398738
2023-12-25,-0.24761015770216807
2023-12-26,-0.25403544065978695
2023-12-27,-0.28526886428230797
2023-12-28,-0.3251936546257471
2023-12-29,-0.350931208095024
2024-01-01,-0.374841751789202
2024-01-02,-0.3940867452534208
2024-01-03,-0.43458041612746195
2024-01-04,-0.49324874752796566
2024-01-05,-0.5042623223036496
2024-01-08,-0.5504569854160543
2024-01-09,-0.5581231188439106
2024-01-10,-0.5988326143834383
2024-01-11,-0.6679190020513699
2024-01-12,-0.7234825989458622
2024-01-15,-0.8265599979779423
2024-01-16,-0.9186740094216468
2024-01-17,-0.995741815510592
2024-01-18,-1.070392430989959
2024-01-19,-1.159983275456244
2024-01-22,-1.1888226477646677
2024-01-23,-1.245730318359336
2024-01-24,-1.288974374720646
2024-01-25,-1.227016087367973
2024-01-26,-1.2219583754174956
2024-01-29,-1.2316497959730472
2024-01-30,-1.2506979615205651
2024-01-31,-1.2691722148491995
2024-02-01,-1.2141419034951366
2024-02-02,-1.2021937037605488
2024-02-05,-1.2215678525953275
2024-02-06,-1.2533898050294097
2024-02-07,-1.254079710314298
2024-02-08,-1.2872936303319888
2024-02-09,-1.3406817769202235
2024-02-12,-1.4059132421861804
2024-02-13,-1.4695984280444176
2024-02-14,-1.4588798697028356
2024-02-15,-1.500561465514123
2024-02-16,-1.468208518345934
2024-02-19,-1.5537714661284046
2024-02-20,-1.656291741797132
2024-02-21,-1.7733239478467238
2024-02-22,-1.9135567128337259
2024-02-23,-1.896298904719321
2024-02-26,-1.9663079624515898
2024-02-27,-1.9895060420490165
2024-02-28,-2.020662939135372
2024-02-29,-1.7962771444311425
2024-03-01,-1.7705960059254673
2024-03-04,-1.7560772043300166
2024-03-05,-1.7691957759454664
2024-03-06,-1.770012299371237
2024-03-07,-1.7440935654808667
2024-03-08,-1.6667426020396576
2024-03-11,-1.6472611485586361
2024-03-12,-1.6750780198413502
2024-03-13,-1.6845337747517635
2024-03-14,-1.8159746087209514
2024-03-15,-1.8983393110016984
2024-03-18,-1.9938751430643873
2024-03-19,-2.034794398552252
2024-03-20,-2.2264504757127765
2024-03-21,-2.5154714270181193
2024-03-22,-2.723775034428456
2024-03-25,-2.907671075236573
2024-03-26,-3.0951416518774253
