index,price
2023-09-19,
2023-09-20,
2023-09-21,
2023-09-22,
2023-09-25,
2023-09-26,
2023-09-27,
2023-09-28,
2023-09-29,
2023-10-02,
2023-10-03,
2023-10-04,
2023-10-05,
2023-10-06,
2023-10-09,
2023-10-10,
2023-10-11,
2023-10-12,
2023-10-13,
2023-10-16,
2023-10-17,
2023-10-18,
2023-10-19,
2023-10-20,
2023-10-23,
2023-10-24,
2023-10-25,
2023-10-26,
2023-10-27,
2023-10-30,
2023-10-31,
2023-11-01,
2023-11-02,
2023-11-03,
2023-11-06,
2023-11-07,
2023-11-08,
2023-11-09,
2023-11-10,
2023-11-13,
2023-11-14,
2023-11-15,
2023-11-16,
2023-11-17,
2023-11-20,
2023-11-21,
2023-11-22,
2023-11-23,
2023-11-24,
2023-11-27,
2023-11-28,
2023-11-29,
2023-11-30,
2023-12-01,
2023-12-04,
2023-12-05,
2023-12-06,
2023-12-07,
2023-12-08,
2023-12-11,
2023-12-12,
2023-12-13,
2023-12-14,
2023-12-15,
2023-12-18,
2023-12-19,
2023-12-20,
2023-12-21,
2023-12-22,
2023-12-25,
2023-12-26,
2023-12-27,
2023-12-28,
2023-12-29,
2024-01-01,
2024-01-02,
2024-01-03,
2024-01-04,
2024-01-05,
2024-01-08,
2024-01-09,
2024-01-10,
2024-01-11,
2024-01-12,
2024-01-15,
2024-01-16,
2024-01-17,
2024-01-18,
2024-01-19,
2024-01-22,
2024-01-23,
2024-01-24,
2024-01-25,
2024-01-26,
2024-01-29,
2024-01-30,
2024-01-31,
2024-02-01,
2024-02-02,
2024-02-05,
2024-02-06,-14.364212502657567
2024-02-07,-14.208273111941864
2024-02-08,-14.152322343489663
2024-02-09,-14.074164283999325
2024-02-12,-14.088703815109175
2024-02-13,-14.106603171779156
2024-02-14,-14.086449063941899
2024-02-15,-14.13072913808808
2024-02-16,-14.241905552535
2024-02-19,-14.297985270334847
2024-02-20,-14.581914029517478
2024-02-21,-14.855579635062423
2024-02-22,-15.143636876398004
2024-02-23,-15.143636876398004
2024-02-26,-15.304479063637391
2024-02-27,-15.477047994773539
2024-02-28,-15.607368286122485
2024-02-29,-15.688154238178555
2024-03-01,-15.77811778099258
2024-03-04,-15.830757829415205
2024-03-05,-15.902412971484514
2024-03-06,-15.99558770392624
2024-03-07,-16.052455033821097
2024-03-08,-16.052455033821097
2024-03-11,-15.987231805453817
2024-03-12,-15.954801667052596
2024-03-13,-15.875408451644715
2024-03-14,-15.912002904470324
2024-03-15,-15.944852762466828
2024-03-18,-16.015641211685157
2024-03-19,-16.1280320464697
2024-03-20,-16.345272521680048
2024-03-21,-16.454575271569958
2024-03-22,-16.65069151834613
2024-03-25,-16.834756703149708
2024-03-26,-17.00089910103952
2024-03-27,-17.16375577362357
2024-03-28,-17.243478363465417
2024-03-29,-17.33354622640651
2024-04-01,-17.358482299620686
2024-04-02,-17.40538776509828
2024-04-03,-17.370138683660425
2024-04-04,-17.36854874883308
2024-04-05,-17.40383026934553
2024-04-08,-17.39734799044636
2024-04-09,-17.381837723688527
2024-04-10,-17.355749081997267
2024-04-11,-17.37047899013552
2024-04-12,-17.3658045691086
2024-04-15,-17.392293120814763
2024-04-16,-17.391661572795364
2024-04-17,-17.40233708387439
2024-04-18,-17.3459906609063
2024-04-19,-17.29570873908339
2024-04-22,-17.26743228007765
2024-04-23,-17.24979077826853
2024-04-24,-17.17226764817444
2024-04-25,-17.210087790276184
