index,price
2023-12-18,
2023-12-19,
2023-12-20,
2023-12-21,
2023-12-22,
2023-12-25,
2023-12-26,
2023-12-27,
2023-12-28,
2023-12-29,
2024-01-01,
2024-01-02,
2024-01-03,
2024-01-04,
2024-01-05,
2024-01-08,
2024-01-09,
2024-01-10,
2024-01-11,
2024-01-12,
2024-01-15,
2024-01-16,
2024-01-17,
2024-01-18,
2024-01-19,
2024-01-22,17.016302965284357
2024-01-23,17.651504681072108
2024-01-24,18.2173977116079
2024-01-25,18.622948323063483
2024-01-26,18.9225465790507
2024-01-29,19.148872312611513
2024-01-30,18.841648205324066
2024-01-31,19.073084773881263
2024-02-01,19.055308108410898
2024-02-02,18.210734230706215
2024-02-05,17.233365496654745
2024-02-06,16.769572632865746
2024-02-07,16.133448286191275
2024-02-08,14.794234239919934
2024-02-09,13.521558806945565
2024-02-12,12.89598560201821
2024-02-13,13.725837707976876
2024-02-14,14.078843006399875
2024-02-15,15.166179424149798
2024-02-16,13.715748775084695
2024-02-19,12.366297444895332
2024-02-20,11.032153481035111
2024-02-21,8.511984461023436
2024-02-22,6.433216599465134
2024-02-23,6.433216599465134
2024-02-26,5.834736989584408
2024-02-27,5.077172545451513
2024-02-28,3.6046199154686906
2024-02-29,2.6324316209475946
2024-03-01,2.0452872026879114
2024-03-04,0.24988210872181035
2024-03-05,-1.3971210616074181
2024-03-06,-3.5640421936026776
2024-03-07,-4.843375012349432
2024-03-08,-4.843375012349432
2024-03-11,-6.612465364850429
2024-03-12,-8.86612353635972
2024-03-13,-10.559822262613295
2024-03-14,-12.45139530468306
2024-03-15,-13.936388568426642
2024-03-18,-14.49680356828694
2024-03-19,-15.550848924201485
2024-03-20,-16.394810316017683
2024-03-21,-17.073338760401406
2024-03-22,-17.620664424297956
2024-03-25,-18.063332827081886
2024-03-26,-18.0849947157948
2024-03-27,-18.254722234946993
2024-03-28,-18.39904707733223
2024-03-29,-18.693124893797126
2024-04-01,-18.599378759331934
2024-04-02,-18.70168918374569
2024-04-03,-17.52930728135826
2024-04-04,-17.16879775385816
2024-04-05,-17.685491475360507
2024-04-08,-18.107601019001
2024-04-09,-18.452535920134515
2024-04-10,-18.711802120563974
2024-04-11,-18.946412559961075
2024-04-12,-18.899594447415062
2024-04-15,-18.88397074939294
2024-04-16,-18.6260131150477
2024-04-17,-18.48595529676995
2024-04-18,-18.7614051735697
2024-04-19,-18.98671735159016
2024-04-22,-19.093257334042978
2024-04-23,-19.258175063337355
2024-04-24,-19.393089423127506
2024-04-25,-19.018504040701217
2024-04-26,-19.19699070671353
2024-04-29,-19.343014388763365
2024-04-30,-19.462481039342414
2024-05-01,-19.462481039342414
2024-05-02,-19.577302041163527
2024-05-03,-19.501475756130233
2024-05-06,-19.602147297353746
2024-05-07,-19.680904646497183
2024-05-08,-19.471339266028576
2024-05-09,-19.471339266028576
2024-05-10,-19.59050791262808
2024-05-13,-19.483898935274183
2024-05-14,-16.73727185898173
2024-05-15,-13.333567664583288
2024-05-16,-11.110547839282058
2024-05-17,-7.131512514016053
2024-05-20,-5.4440367589926
2024-05-21,-4.82905858151868
2024-05-22,-5.355326576286041
2024-05-23,-4.808704616343179
2024-05-24,-6.835578971895108
2024-05-27,-9.28113439654046
2024-05-28,-10.876410412978576
2024-05-29,-12.038783834065322
2024-05-30,-13.479832377989089
2024-05-31,-14.67672736537085
2024-06-03,-15.652203542111302
2024-06-04,-15.444031360076924
2024-06-05,-15.176553172609585
2024-06-06,-15.560922498190559
2024-06-07,-15.237151798835672
2024-06-10,-15.831213177484216
2024-06-11,-16.590952048012756
2024-06-12,-16.590952048012756
2024-06-13,-17.092321030964595
2024-06-14,-17.041711397681155
2024-06-17,-17.639765346369092
2024-06-18,-18.107401853532217
2024-06-19,-18.476365925018868
2024-06-20,-17.802510144580214
2024-06-21,-18.13747254381035
2024-06-24,-18.489087237291507
2024-06-25,-18.51914705625147
2024-06-26,-18.286299131326135
2024-06-27,-18.199043613714732
2024-06-28,-18.53199533009058
2024-07-01,-18.431328098073614
2024-07-02,-17.67137929326144
2024-07-03,-17.60935470053731
2024-07-04,-18.047262115434968
2024-07-05,-18.404470852287634
2024-07-08,-18.696013114839285
2024-07-09,-18.93406771109047
2024-07-10,-19.128519227015204
2024-07-11,-18.923125245545172
2024-07-12,-18.598451395970685
2024-07-15,-18.853742682154262
2024-07-16,-18.92800967579358
2024-07-17,-19.123154576008407
2024-07-18,-18.732153362511955
2024-07-19,-17.893998037719978
2024-07-22,-17.340866154671883
2024-07-23,-16.72293875685103
2024-07-24,-16.093349774482704
2024-07-25,-15.150412893031756
2024-07-26,-15.185904266883897
2024-07-29,-15.861333879946311
2024-07-30,-15.818836413993525
2024-07-31,-16.030294275083634
2024-08-01,-15.78780029961263
2024-08-02,-16.410580771291645
2024-08-05,-17.063260952471428
2024-08-06,-17.380377259121815
2024-08-07,-17.264268641739363
2024-08-08,-17.61888183528587
2024-08-09,-18.051829801283418
2024-08-12,-18.40605420613545
2024-08-13,-18.695870325225275
2024-08-14,-18.932990028247833
2024-08-15,-19.126995333433634
2024-08-16,-19.28572579232404
2024-08-19,-19.415595394978276
2024-08-20,-19.500997921409564
2024-08-21,-19.591726303909713
2024-08-22,-19.665958374929776
2024-08-23,-19.726693543808874
2024-08-26,-18.92331082432768
2024-08-27,-18.680955515814485
2024-08-28,-18.74058096859363
2024-08-29,-18.81208610509738
