index,price
2023-09-19,
2023-09-20,0.0025118195848671276
2023-09-21,-0.018037087371807394
2023-09-22,-0.025883189086691114
2023-09-25,-0.0409808372904493
2023-09-26,-0.045530791047457046
2023-09-27,-0.03777540697872421
2023-09-28,-0.02705708906462123
2023-09-29,-0.020875376475086086
2023-10-02,-0.014141551870151205
2023-10-03,-0.012332207716117888
2023-10-04,-0.011930062270585209
2023-10-05,-0.009071587139808027
2023-10-06,-0.0024882673777549646
2023-10-09,0.004191102634746502
2023-10-10,0.02616923611988808
2023-10-11,0.03935279813297719
2023-10-12,0.06146574728973489
2023-10-13,0.05746094138619916
2023-10-16,0.07138462035845235
2023-10-17,0.09395420003955607
2023-10-18,0.10290152480413697
2023-10-19,0.10861819041055298
2023-10-20,0.12770579212552136
2023-10-23,0.15855127462546853
2023-10-24,0.17858148913488012
2023-10-25,0.18988446500634187
2023-10-26,0.1889293939696134
2023-10-27,0.17518785234355144
2023-10-30,0.14240593278889616
2023-10-31,0.08360192696225403
2023-11-01,0.025199233783165246
2023-11-02,-0.06860313445607327
2023-11-03,-0.1385994266512092
2023-11-06,-0.18458523454875908
2023-11-07,-0.2247628696360381
2023-11-08,-0.27126237966493666
2023-11-09,-0.3083732494396598
2023-11-10,-0.3496145543791075
2023-11-13,-0.38726195217058523
2023-11-14,-0.43326090582599946
2023-11-15,-0.49125591446698225
2023-11-16,-0.5566356160482941
2023-11-17,-0.613176419750319
2023-11-20,-0.6735867051961868
2023-11-21,-0.6940574996660371
2023-11-22,-0.7313374580475801
2023-11-23,-0.7749371709146328
2023-11-24,-0.8288610070245498
2023-11-27,-0.866437234193468
2023-11-28,-0.9485629179046889
2023-11-29,-1.0374038962343566
2023-11-30,-1.1337367917758066
2023-12-01,-1.2374962631905295
2023-12-04,-1.308433080693356
2023-12-05,-1.3642943076773157
2023-12-06,-1.439174889309845
2023-12-07,-1.5664475029947467
2023-12-08,-1.660622679791822
2023-12-11,-1.7543318600187425
2023-12-12,-1.9056319598377351
2023-12-13,-1.9889967879332429
2023-12-14,-2.132444643902055
2023-12-15,-2.118352629286994
2023-12-18,-2.1955596123019667
2023-12-19,-2.309112508504103
2023-12-20,-2.153286133682776
2023-12-21,-2.2136614539042454
2023-12-22,-2.2635125853472546
2023-12-25,-2.2796295810624465
2023-12-26,-2.3278060168637933
2023-12-27,-2.371790408857801
2023-12-28,-2.4182088768666077
2023-12-29,-2.4719052805658386
2024-01-01,-2.4723080216288995
2024-01-02,-2.4726986836058074
2024-01-03,-2.4545406687985776
2024-01-04,-2.4882862520498974
2024-01-05,-2.5259150874685417
2024-01-08,-2.4414834793585687
2024-01-09,-2.4589591449410855
2024-01-10,-2.4663158476910536
2024-01-11,-2.1332782724428534
2024-01-12,-2.116546822311267
2024-01-15,-2.0882111796725504
2024-01-16,-2.0577228902726743
2024-01-17,-1.9867191896040597
2024-01-18,-1.9510525507997916
2024-01-19,-1.9071524681217717
2024-01-22,-1.8721747114765803
2024-01-23,-1.7626889017123044
2024-01-24,-1.6153901091055607
2024-01-25,-1.5933976681000181
2024-01-26,-1.5720714153907378
2024-01-29,-1.5505498064334438
2024-01-30,-1.4815826852582883
2024-01-31,-1.432130174706564
2024-02-01,-1.3293233547201484
2024-02-02,-1.259027937518846
2024-02-05,-1.1536558412831106
2024-02-06,-1.0722582231384155
2024-02-07,-1.0021680569837574
2024-02-08,-0.8990107542024924
2024-02-09,-0.6865013409999716
2024-02-12,-0.5636071753638061
2024-02-13,-0.43060193676297615
2024-02-14,-0.2878117316591327
2024-02-15,-0.15554270806900608
2024-02-16,-0.03599434889271393
